Ticker,Trg
DEX.DE,XETRA (Nemčija)
DMRE.DE,XETRA (Nemčija)
DMP.DE,XETRA (Nemčija)
DBK.DE,XETRA (Nemčija)
DB1.DE,XETRA (Nemčija)
DEQ.DE,XETRA (Nemčija)
DHL.DE,XETRA (Nemčija)
DEZ.DE,XETRA (Nemčija)
GIL.DE,XETRA (Nemčija)
DOU.DE,XETRA (Nemčija)
DRW8.DE,XETRA (Nemčija)
DRW3.DE,XETRA (Nemčija)
DKG.DE,XETRA (Nemčija)
DBAN.DE,XETRA (Nemčija)
PBB.DE,XETRA (Nemčija)
DTE.DE,XETRA (Nemčija)
DUE.DE,XETRA (Nemčija)
DWS.DE,XETRA (Nemčija)
EOAN.DE,XETRA (Nemčija)
EUZ.DE,XETRA (Nemčija)
E4C.DE,XETRA (Nemčija)
ED4.DE,XETRA (Nemčija)
EIN3.DE,XETRA (Nemčija)
OT8�.DE,XETRA (Nemčija)
ELG.DE,XETRA (Nemčija)
ZIL2.DE,XETRA (Nemčija)
EVK.DE,XETRA (Nemčija)
EVT.DE,XETRA (Nemčija)
FAA.DE,XETRA (Nemčija)
V3V.DE,XETRA (Nemčija)
FIE.DE,XETRA (Nemčija)
SIS.DE,XETRA (Nemčija)
FTK.DE,XETRA (Nemčija)
FYB.DE,XETRA (Nemčija)
FEV.DE,XETRA (Nemčija)
FRA.DE,XETRA (Nemčija)
FNTN.DE,XETRA (Nemčija)
FME.DE,XETRA (Nemčija)
FRE.DE,XETRA (Nemčija)
VH2.DE,XETRA (Nemčija)
FPE.DE,XETRA (Nemčija)
FPE3.DE,XETRA (Nemčija)
GTY.DE,XETRA (Nemčija)
G1A.DE,XETRA (Nemčija)
GXI.DE,XETRA (Nemčija)
GSC1.DE,XETRA (Nemčija)
GFT.DE,XETRA (Nemčija)
GFG.DE,XETRA (Nemčija)
GMM.DE,XETRA (Nemčija)
GYC.DE,XETRA (Nemčija)
GLJ.DE,XETRA (Nemčija)
2HRA.DE,XETRA (Nemčija)
H2A.DE,XETRA (Nemčija)
690D.DE,XETRA (Nemčija)
HABA.DE,XETRA (Nemčija)
HHFA.DE,XETRA (Nemčija)
HNR1.DE,XETRA (Nemčija)
HLAG.DE,XETRA (Nemčija)
HAW.DE,XETRA (Nemčija)
HEI.DE,XETRA (Nemčija)
HPHA.DE,XETRA (Nemčija)
HDD.DE,XETRA (Nemčija)
HLE.DE,XETRA (Nemčija)
HFG.DE,XETRA (Nemčija)
HEN.DE,XETRA (Nemčija)
HEN3.DE,XETRA (Nemčija)
HAG.DE,XETRA (Nemčija)
A3CMGN.DE,XETRA (Nemčija)
HLG.DE,XETRA (Nemčija)
HOT.DE,XETRA (Nemčija)
HNL.DE,XETRA (Nemčija)
HTG.DE,XETRA (Nemčija)
HBH.DE,XETRA (Nemčija)
BOSS.DE,XETRA (Nemčija)
HYQ.DE,XETRA (Nemčija)
INH.DE,XETRA (Nemčija)
IFX.DE,XETRA (Nemčija)
IXX.DE,XETRA (Nemčija)
INS.DE,XETRA (Nemčija)
ISH2.DE,XETRA (Nemčija)
IS7.DE,XETRA (Nemčija)
IOS.DE,XETRA (Nemčija)
IVU.DE,XETRA (Nemčija)
JEN.DE,XETRA (Nemčija)
JST.DE,XETRA (Nemčija)
JUN3.DE,XETRA (Nemčija)
SDF.DE,XETRA (Nemčija)
KGX.DE,XETRA (Nemčija)
KCO.DE,XETRA (Nemčija)
KTA.DE,XETRA (Nemčija)
KBX.DE,XETRA (Nemčija)
SKB.DE,XETRA (Nemčija)
KTN.DE,XETRA (Nemčija)
KRN.DE,XETRA (Nemčija)
KSB.DE,XETRA (Nemčija)
KSB3.DE,XETRA (Nemčija)
KWS.DE,XETRA (Nemčija)
LXS.DE,XETRA (Nemčija)
LEG.DE,XETRA (Nemčija)
LEI.DE,XETRA (Nemčija)
TGHN.DE,XETRA (Nemčija)
LPK.DE,XETRA (Nemčija)
ECK.DE,XETRA (Nemčija)
LHA.DE,XETRA (Nemčija)
MZX.DE,XETRA (Nemčija)
MBB.DE,XETRA (Nemčija)
MED.DE,XETRA (Nemčija)
ILM1.DE,XETRA (Nemčija)
MBG.DE,XETRA (Nemčija)
MRK.DE,XETRA (Nemčija)
MRX.DE,XETRA (Nemčija)
MLP.DE,XETRA (Nemčija)
MTX.DE,XETRA (Nemčija)
MUV2.DE,XETRA (Nemčija)
MULT.DE,XETRA (Nemčija)
MUX.DE,XETRA (Nemčija)
MVV1.DE,XETRA (Nemčija)
NA9.DE,XETRA (Nemčija)
NEM.DE,XETRA (Nemčija)
NFN.DE,XETRA (Nemčija)
