Companies in General Standard;;;;;;;;
;;;;;;;;
1.05.2026;;;;;;;;
;;;;;;;;
;;;;;;;;
Number of instruments:;102;;;;;;;
Number of companies: ;101;;;;;;;
ISIN;Trading Symbol;Company;Sector;Subsector;Country;Instrument Exchange;Index;
DE000A12UP37;NC5A;NORCOM INFORMATION TECHNOLOGY INH ON;Software;IT-Services;Germany;XETRA + FRANKFURT ;-;
DE0006775505;NWX;NORDWEST HANDEL AG;Industrial;Industrial Products & Services;Germany;FRANKFURT;-;
DE0005228779;OBS;ORBIS SE O.N.;Software;IT-Services;Germany;XETRA + FRANKFURT ;-;
DE000A3E5EG5;PA8;PAION O.N;Pharma & Healthcare;Biotechnology;Germany;FRANKFURT ;-;
DE000A1R1C81;ICP;United Eco Solutions AG;Technology;Communications Technology;Germany;FRANKFURT ;-;
DE000A1A6WB2;PTHH;Path2 Hydrogen AG;Financial services;Renewable Energies;Germany;FRANKFURT;-;
DE000A0AFGF3;02P;PEARL GOLD AG;Basic resources ;Mining;Germany;FRANKFURT;-;
DE0006916604;PFV;PFEIFFER VACUUM TECH. AG O.N.;Industrial;Advanced Industrial Equipment;Germany;XETRA + FRANKFURT ;-;
DE000A2YN777;EMH;PFERDEWETTEN.DE AG NA ON;Consumer;Leisure ;Germany;XETRA + FRANKFURT ;-;
DE0006925001;PIT;PITTLER MASCHINENFABRIK AG;Industrial;Industrial Machinery;Germany;FRANKFURT;-;
DE000A0HGQS8;P4O;Planoptik AG;Industrial;Advanced Industrial Equipment;Germany;XETRA + FRANKFURT;-;
DE000PAH0038;PAH3;PORSCHE AUTOMOBIL HOLDING VZO;Automobile;Automobile Manufacturers;Germany;XETRA + FRANKFURT ;DAX;
DE000A0LE3J1;EXJ0;READCREST CAPITAL AG O.N.;Media;Advertising;Germany;XETRA + FRANKFURT ;-;
DE0007008906;RTC;REALTECH AG O.N.;Software;IT-Services;Germany;XETRA + FRANKFURT ;-;
DE000A3E5E55;HP3;RINGMETALL SE NA O.N.;Industrial;Containers & Packaging;Germany;XETRA + FRANKFURT ;-;
DE000A3MQRK6;3330;Rostra AG;Chemicals;Chemicals, Specialty;Germany;XETRA + FRANKFURT ;-;
DE000RYSE888;RY8;ROY ASSET HLDG INH O.N.;Consumer;Home Construction & Furnishings;Germany;FRANKFURT;-;
DE0007229007;SWA;SCHLOSS WACHENHEIM AG O.N;Food & Beverages;Beverages;Germany;XETRA + FRANKFURT ;-;
DE0005156236;SCE;SCHWEIZER ELECTRONIC NA O.N.;Technology;Semiconductors;Germany;XETRA + FRANKFURT ;-;
DE000A3E5CP0;SIM;SIMONA AG O.N.;Chemicals;Chemicals, Commodity;Germany;FRANKFURT;-;
DE000SGU8886;SGU;SINO-GERMAN UNITED AG O.N.;Industrial;Industrial, Diversified;Germany;FRANKFURT;-;
LU2380749676;RCVR;SMG EUROPEAN RECOV.  EO 1;Financial Services;Private Equity & Venture Capital;Luxembourg;FRANKFURT ;-;
DE000A1EMG56;WIG1;SPORTTOTAL AG  INH. O.N.;Media;Advertising;Germany;FRANKFURT ;-;
DE0007274136;STO3;STO SE+CO.KGAA VZO O.N.;Construction;Building Materials;Germany;XETRA + FRANKFURT ;SDAX;
DE000A1TNU68;SF3;STS GROUP AG  O.N.;Automobile;Auto Parts & Equipment;Germany;XETRA + FRANKFURT ;-;
DE0007454209;TCU;TC UNTERHALTUNGSELEKTRONIK;Consumer;Consumer Electronics;Germany;FRANKFURT;-;
DE000A1YC996;PU11;THE SOCIAL CHAIN AG;Media;Advertising;Germany;FRANKFURT;-;
DE000A409732;TIS;TISCON AG i.A.;Software;IT-Services;Germany;FRANKFURT;-;
DE0007501009;TTO;TTL BETEILIGUNGS- UND GRUNDBESITZ AG INH ON;Financial Services;Real Estate;Germany;XETRA + FRANKFURT ;-;
IT0005239360;CRIN;UNICREDIT;Banks;Credit Banks;Italy;XETRA + FRANKFURT ;-;
DE0007551509;UZU;UZIN UTZ SE O.N.;Construction;Building Materials;Germany;XETRA + FRANKFURT ;-;
SE0018538068;VRV;Verve Group SE;Media;Movies & Entertainment;Sweden;XETRA + FRANKFURT;SDAX;
CH0557519201;VXT;VIDINEXT AG;Media;Movies & Entertainment;Switzerland;XETRA + FRANKFURT ;-;
DE0007016008;MSH;WASGAU PRODUKTIONS & HANDELS NA O.N.;Food & Beverages;Food;Germany;FRANKFURT;-;
DE0008103102;RKB;WEBAC HOLDING AG;Financial Services;Private Equity & Venture Capital;Germany;FRANKFURT;-;
DE000A2TSU21;WBAH;WILD BUNCH AG O.N.;Media;Movies & Entertainment;Germany;FRANKFURT;-;
DE000A161N14;RTV;YOUR FAMILY ENTERTAINMENT AG NA;Media;Movies & Entertainment;Germany;XETRA + FRANKFURT ;-;
DE000ZDWT018;ZEF;ZHONGDE WASTE TECHNOLOGY;Industrial;Industrial Products & Services;Germany;FRANKFURT;-;
DE000A1681X5;SNG;SINGULUS TECHNOL. EO 1;Industrial;Advanced Industrial Equipment;Germany;XETRA + FRANKFURT ;-;
